clusterID,pca1,pca2,Row_id,Tweets,Class
0,-0.53,-0.28,468,my thoughts are with ellicottcity maryland as death toll rises and recovery efforts begin after flood devastation,help/rescue
0,-0.53,-0.49,132,one postflood scene from ellicottcity via photographer amy davis tons more here,help/rescue
0,-0.52,-0.35,266,biggest flood is 1972 hurricane agnes1975 hurricane eloise and 1933 before official records 1868 blows all out of the water ellicottcity,help/rescue
0,-0.52,-0.28,460,please help those that lost everything in the flood in ellicott city,help/rescue
0,-0.52,-0.12,87,sending hope and healing for those affected by the flood in old ellicott city im so heartbroken to see such damage in such a magical place,help/rescue
0,-0.52,-0.27,277,donate to assist merchants affected by the ellicottcity flood,help/rescue
0,-0.52,0.11,372,some good samaritans formed a human chain to rescue a woman from flood waters in ellicott city md,help/rescue
0,-0.52,-0.30,605,catonsville and ellicott city are under a complete flood right now thankfully i live at the top of a hill,help/rescue
0,-0.52,-0.25,505,hi paulaabdul  keep praying for people in elliott city in maryland  we had bad flood  very sad  from  heavy rain storms thanks,help/rescue
0,-0.52,-0.27,336,pages created to help ellicott city flood victims,help/rescue
0,-0.52,-0.14,425,shocking water rise during ellicott city flood nearly 20 feet in minutes smashes old record going back to 1868 pictwittercom/vowc8er1lo,help/rescue
0,-0.52,-0.15,567,my ol stomping grounds old ellicott city has been devastated by a flood heartbreaking to see but we can help!,help/rescue
0,-0.52,-0.29,323,includes an image of the ellicott city flood gauge marking highwater mark of worst floods,help/rescue
0,-0.52,-0.24,502,bloede dam mile  downstream from ellicottcity flood pictwittercom/bngfyrovrs,help/rescue
0,-0.52,-0.28,320,at end of this i realized id been holding my breath as terrified young woman is rescued from ellicott city flood,help/rescue
0,-0.52,-0.19,297,i hope all my friends at all time toys are safe from yesterdays flood in ellicott city,help/rescue
0,-0.52,-0.23,309,thoughts & prayers for 1 of my fav places ellicottcity md tremendous devastation  flood,help/rescue
0,-0.51,-0.16,535,2 people killedcars and buildings damaged as flood waters again ravage ellicott city,help/rescue
0,-0.51,-0.21,346,my asm getting ready to assist the ellicott city stores from the flood pictwittercom/2sndadbgvu,help/rescue
0,-0.51,-0.28,408,nwswpc had a heavy precip disc out for the midatl/northeast at 5pm ellicottcity flood,help/rescue
0,-0.51,-0.28,295,ellicott city md flooding july 30 2016 wow!,help/rescue
0,-0.51,-0.20,340,please pray for the ellicott city maryland flood victims!!!,help/rescue
0,-0.51,-0.15,197,local business owner rescuing woman from car during flood in ellicottcity,help/rescue
0,-0.51,-0.30,613,its worse than any of us expected it to be says larryhogan of ellicott city flood destruction with repcummingspictwittercom/l9l4qgxrln,help/rescue
0,-0.51,0.09,142,human chain formed by local business owner to rescue woman from ellicott city flood pictwittercom/crplng4oit,help/rescue
0,-0.50,-0.19,102,this is a harpers engraving from 1868 showing the previous record flood in ellicott city pictwittercom/qae9avsgjz,help/rescue
0,-0.50,-0.20,137,thoughts and prayers go out to all of you impacted by the flood in ellicottcity,help/rescue
0,-0.50,-0.21,226,we are healthy flood didnt get in house we have power no water or cable (internet) spotty cell service ellicottcity,help/rescue
0,-0.50,-0.12,347,ellicottcity after the flood might be stuck at home for a bit pictwittercom/etyaeu4s9w,help/rescue
0,-0.50,-0.29,396,baad up derr in ellicott city beautiful town over derr this flood not coolin,help/rescue
0,-0.50,-0.14,531,hope my neighbors in old ellicottcity are safe this morning after yesterdays flood,help/rescue
0,-0.50,-0.13,165,my thoughts and prayers go out to the people affected by the flood in ellicott city a wonderful city in my home state,help/rescue
0,-0.50,-0.08,41,as my last several rts show just catching up on the flood damage to ellicott city give to relief funds if youre able,help/rescue
0,-0.50,-0.03,448,insane bravery in this video! so glad everyone is ok! im still in shock that the flood happened ellicottcity,help/rescue
0,-0.49,-0.11,343,notice due to the damaged caused by the flood on main street in ellicott city the massage boutique will be closed pictwittercom/cr2vq1x8gy,help/rescue
0,-0.49,-0.11,284,larrycfox45 unbelievable flood damage in ellicott city large sinkholes line main street,help/rescue
0,-0.49,-0.11,615,unbelievable flood damage in ellicott city large sinkholes line main street larrycfox45,help/rescue
0,-0.49,0.05,56,facebook video shows the efforts of a group of people to save a driver from flood waters in ellicott city,help/rescue
0,-0.49,-0.25,409,howard county police chief talks about 2 deaths during ellicott city flood watch at,help/rescue
0,-0.49,-0.20,311,patron discusses evacuating restaurant losing car in ellicott city flood,help/rescue
0,-0.49,-0.24,199,my friend was playing pokemon in ellicott city during the flood smh i live down the street too not as much flooding tho,help/rescue
0,-0.49,-0.05,35,wasnt here for ellicottcity flood last time but i would not be surprised if fema pays people not to rebuild,help/rescue
0,-0.49,-0.07,9,watch strangers band together to rescue woman trapped in her car in ellicott city flood,help/rescue
0,-0.49,-0.14,469,amazing flood footage out of ellicott city md guy hanging on to his car as it floats down the street,help/rescue
0,-0.49,-0.08,416,wowall the photos popping up of old ellicott city are so depressing cant believe how much damage that flood caused,help/rescue
0,-0.49,0.07,206,i liked a youtube video from hocoreact,help/rescue
0,-0.49,0.07,145,i added a video to a youtube playlist,help/rescue
0,-0.49,-0.11,379,please stay away from main street ellicott city please stay away from flooded areas and areas that can possibly flood,help/rescue
0,-0.49,-0.34,385,ellicott city (md) flood tragedy recalls 72 agnes  wiped out mill town nearbycovered reunion for washingtonpost,help/rescue
0,-0.49,-0.28,73,was in dc lastnight and was unaware of the flood in ellicottcity ,help/rescue
0,-0.49,-0.08,135,oh my god hope everyone is safe at  ellicottcity  cant believe the damage the flood made!,help/rescue
0,-0.49,-0.20,170,okay what happened to ellicott city? how does a flood do that much damage dios mio,help/rescue
0,-0.49,-0.16,512,icymi ellicottcity streets closed  due to flood damage = avoid  hoco mdtraffic,help/rescue
0,-0.49,-0.24,207,ellicott city floods b/c it sits on the patapsco w/ flood records going back to 1868 ,help/rescue
0,-0.49,-0.26,212,ellicottcity experienced a *thousandyear flood* biblical,help/rescue
0,-0.49,-0.60,393,two deaths confirmed,help/rescue
0,-0.48,-0.16,488,in ellicottcity streets remain closed  due to flood damage  clean up hoco mdtraffic,help/rescue
0,-0.48,-0.08,133,rt melserwbal joking turns to fear in this ellicottcity flood video  1st hand look how it all unfolded,help/rescue
0,-0.48,-0.29,400,waking up to fb posts & news about flood that ripped through ellicottcity md just a few miles from where i grew up thinking of you all,help/rescue
0,-0.48,-0.28,108,if youre in the ellicottcity flood area & need assistance heres the info hotline wjz cbsbaltimore,help/rescue
